url,website_email,website_phone,website_address_list,website_business_name,facebook_email,facebook_phone,facebook_address_list,facebook_business_type,facebook_business_name
http://www.kimmropickyyoga.com/membershipspackages,kimmropickyyoga@gmail.com,414-793-8004,None,Memberships & Packages,,,,,
http://www.leadershipstudioac.com/class-schedule.html,,609-300-6447,"ATLANTIC CITY, NJ 08401",CLASS SCHEDULE,hello@leadershipstudioac.com,+1 609-412-0041,"161 S. Tennessee Ave. , Atlantic City, NJ, United States, New Jersey
",Yoga,The Leadership Studio
http://www.lisakingyoga.com/,,,,www.lisakingyoga.com,,,,,
http://www.lokayogaoakland.com/,,13.12.20,,Dari Love Yoga,,,,,
http://www.masako.yoga/teacher-trainings.html,,-1,None,"Yin, restorative, Teacher Trainings, yoga workshops",,,,,
http://www.pardispartow.com/calendar-of-events/summer-solstice-sound-bath-event-maharose,,,"200 Columbia Street, Brooklyn, NY","""SUMMER SOLSTICE"" Sound Bath Workshop ",,,,,
http://www.secretsearchenginelabs.com/find/body%20pilates,,,,,,,,,
http://www.songofthesacred.com/workshops,cjgsmg@yahoo.com,919-332-0628,"305061 SIX FORKS RD. RALEIGH, NC  
301735-H Saxapahaw-Bethlehem Church Rd, Graham, NC 27253  
None  
None  ",Offerings,,,,,
http://www.stardanceschool.com/dance-lessons-kids-adults-in-boston-ma.html,info@stardanceschool.com,617-202-9200,"323 Washington St, Brighton MA","Star Dance School- Ballroom, Latin, Street Dancing, Dance Lessons in Boston MA, Newton MA",info@stardanceschool.com,+1 617-202-9200,"323 Washington St, Boston, MA, United States, Massachusetts
",Dance,Star Dance School
http://www.true-definition.com/schedule,toni@true-definition.com,2087861442,None,True Definition Pilates +Aerial,,,,,
http://www.westactonvillageworks.com/events,leasing@newhabitatpartners.com,3215286852,"202, West Acton, MA 01720",Events |  Villageworks,leasing@newhabitatpartners.com,+1 617-765-4493,,Local,West Acton Villageworks
http://www.yogainspiredlife.org/class-schedule.html,,,,Class Schedule,,,,,
http://www.yogawithvictor.com/blogevents/category/private-yoga/4,,219-2252024,None,Category: Private Yoga,victor@yogawithvictor.com,,,Public,Yoga with Victor - Vicyasa
http://yoga-malm.squarespace.com/workshops/2021/8/22/prenatal-yoga-modifications-workshop,hannamalmyoga@gmail.com,,None,Hanna Malm YogaWorkshopsPrenatal Yoga Modifications Workshop,,,,,
http://yogawithzaz.com/yogawithzaz-membership-options,yogawithzaz@gmail.com,,None,Yoga With Zaz Memberships,,,,,
https://100powerpilates.co.uk/prices-mat,,62.68-10.62-.07,None,Pilates Class Prices in Chester | 100 Power Pilates,100powerpilates@gmail.com,+44 7858 892399,"70 Foregate Street, Chester",Pilates,100 Power Pilates
https://10thplanetjjdallas.com/schedule/,10thPlanetDallas@gmail.com,214.699.7695,,SCHEDULE,10thplanetdallas@gmail.com,+1 214-699-7695,"11836 Judd Ct suite 332, Dallas, TX, United States, Texas
",Sports,10th Planet Dallas
https://1390granitecitysports.com/escape-the-stress-outdoor-yoga-classes-at-milk-honey-ciders-in-st-joe/,tim.lyon@townsquaremedia.com,320-257-7195,None,Escape The Stress: Outdoor Yoga Classes At 'Milk & Honey Ciders',,+1 320-251-4422,"640 SE Lincoln Avenue, Saint Cloud, MN, United States, Minnesota
",Media/news,1390 Granite City SportsVerified account
https://1520theticket.com/ixp/65/p/escape-the-stress-outdoor-yoga-classes-at-milk-honey-ciders-in-st-joe/,1520theticket@1520theticket.com,507-286-1010,None,Escape The Stress: Outdoor Yoga Classes At 'Milk & Honey Ciders',,,,Radio,KOLM - 1520 The Ticket
https://247sports.news/yoga-classes-at-the-ledge-amphitheater-find-your-inner-warrior-in-nature/,hello@shantiyoga.center,2178817135,None,Yoga Classes at The Ledge Amphitheater: Find Your Inner Warrior in Nature,,,,,
https://43northnh.com/classes/,cs@43northnh.com,(603) 491-5311,"2 Pillsbury Street LLU, Concord, NH 03301",Classes | 43 North Athletic Club,,,,,
https://4pointscrossfit.com.au/bookings-4points-crossfit.html,hello@4pointscrossfit.com.au,,,4 Points CrossFit | Strength | Conditioning | Community,hello@4pointscrossfit.com.au,,,Product/service,4 Points CrossFit & Conditioning
https://50hillrise.com/yoga-classes/,hello@50hillrise.com,2081830088,"50 Hill Rise, Richmond",Yoga Classes & Studio in Richmond | 50 Hill Rise,,,,,
https://5rhythms.com/workshops/BODYMINDHEARTSERIESMIND-293364,,+1 415.350.8501,"1747 Church St, San Francisco, CA 94131",5Rhythms,info@5Rhythms.com,+1 212-760-1381,,Sport,Gabrielle Roth's 5Rhythms
https://abayoga.co.uk/,,,,,,,,,
https://accordion-cyan-3zc8.squarespace.com/fullmoons,,,,Full Moon Lunar Somatics,,,,,
https://acimlessons.org/2019/02/thoughts-with-gayle-lesson-45/,,,,,,,,,
https://acrowithkwame.webflow.io/classes/open-level-acro-yoga-class-in-london-spring-2024,,13.1943,None,Open Level Acro Yoga Class,,,,,
https://activefarmers.com.au/three-springs-wa,user@domain.com,0477 242 069,None,"Three Springs, WA",team@activefarmers.com.au,+61 409 063 606,,Community,Active Farmers
https://activelifestylewellness.com.au/promotions/,wellness@lifestylephysio.com.au,2023/05/1-300x157,None,Promotions,,,,,
https://activitypacks.co.nz/products/active-attitude-at-home-activity-pack-online-edition,,1.43.02.565.004,None,Active Attitude at Home Activity Pack,hello@activitypacks.co.nz,,"9 Commerce Street, Whangarei",Education,Activity Packs
https://adantiah-healing-arts.squarespace.com/blog-posts/how-to-release-emotional-blockage,hiromi@ascentiah.com,(646) 476-4874,,How to Release Emotional Blockage | Hiromi Akiyama,hiromi@ascentiah.com,,,Alternative,Hiromi Akiyama
https://adelineyoga.com/event/beginners-immersion/,support@adelineyoga.com,510-982-1873,"3308 Adeline, Berkeley, CA 94703",Strong and Centered: A Beginner's Immersion with Anneke Faas,info@adelineyoga.com,+1 510-982-1873,"3308 Adeline St, Berkeley, CA, United States, California
",Yoga,Adeline Yoga Studio
https://adorepilates.com.au/,britt@adorepilates.com.au,,"48 Meninya Street, Moama",Home,,,,,
https://advertiseyourdomain.com/domain-list-125,,139837,,Alexa top domain list ||  page  125,,,,,
https://aerialactive.fitness/,,1800 464 995,"127 Anderson St, Manunda QLD",Aerial Active,info@cycascircus.com.au,+61 1800 464 995,,Gym/Physical,CYCAS Circus
https://agilept.com/wellness/,,(650) 565-8090,None,Physical Therapy | Virtual Classes & Nutrition Counseling,info-agile@agilept.com,+1 650-565-8090,"3825 El Camino Real Palo Alto, CA 94306",Health,Agile Physical Therapy
https://aktivliving.com.au/pricing/,,,,,,,,,
https://alarm-store.squarespace.com/resilient-recovery-circles,yogaforthejourney@gmail.com,130464,,Resilient Recovery Circles,,,,,
https://alchemyoflife.com.au/practitioners/,info@alchemyarthouse.com.au,0481 097 352,,Practitioners,,,,,
https://algae-panda-et92.squarespace.com/events/summer-wellness-movement-meditation-live-music-sound-healing,yogalovesusan@gmail.com,13.2591,"105 West Wilson Bridge Road, Worthington, OH","Summer Wellness: Movement, Meditation, Live Music & Sound Healing in Columbus, Ohio",,,,,
https://aliceausten.org/events/beyoga-presents-gentle-yoga-on-clear-comfort-lawn/,info@aliceausten.org,718-816-4506,"2 Hylan Boulevard, Staten Island NY",BeYoga Presents: Gentle Yoga on Clear Comfort Lawn,,,,,
https://alignedpetoskey.com/services,Alignedpetoskey@gmail.com,8109312370,None,Offerings,Hello@alignedpetoskey.com,+1 231-613-3906,"442 East Mitchell Street, Petoskey, MI, United States, Michigan
",Pilates,Aligned Pilates
https://alignsingapore.squarespace.com/yoga-class-pricing,,6583636133,,Yoga Trial,,,,,
https://alignstudiosaustralia.com/benefits-of-pilates/,hello@alignstudiosaustralia.com,0491 740 574,"24 Sorell Street, Parramatta",Reasons to Try Pilates,hello@alignstudiosaustralia.com,,"24 Sorrell Street, Parramatta",Gym/Physical,Align Studios Australia
https://alkalignstudios.com/locations/livestream/,virtualstudio@alkalignstudios.com,50465-52068,,Livestream | Alkalign,,,,,
https://all-pilates.com.au/pilates-weekend,,136.798,,Pilates weekend,,,,,
https://alligator-primrose-dlpj.squarespace.com/events-2-1,birthwisdomgb@gmail.com,64220716625,"1566 Moutere Highway, Upper Moutere",Events,,,,Product/service,SquarespaceVerified account
https://alpenflowyoga.com/,info@yogastudiotahoe.com,(530) 268-5755,"10775 Pioneer Trail, Truckee",alpenflow | yoga & movement lab,,,,,
https://amanda-sauro-4373.squarespace.com/schedule,info@giannayoga.com,7865425085,"2631 N. Campbell Ave. Tucson, AZ  
1344 N. Milwaukee Ave., Chicago",Schedule,Info@giannayoga.com,,,Tutor/Teacher,GiannaYoga
https://amelia-hruby-ncul.squarespace.com/events/2021/6/22/saturn-return,hi@ameliahruby.com,,None,Saturn Return Support Group @ Rec Center,,,,,
https://amphibian-piccolo-2fwd.squarespace.com/journal/on-riding-the-wave,info@muddywatersyoga.com,507-556-1865,,On riding the wave,info@muddywatersyoga.com,+1 507-556-1865,"270 West 3rd Street, Winona, MN, United States, Minnesota
",Yoga,Muddy Waters Yoga Studio
https://anandaelpaso.com/,ananda@anandaforlife.com,,"7105 N Mesa Suite F  El Paso, Texas",Ananda Pilates & Yoga,ananda@anandaforlife.com,+1 915-603-7700,"7105 N Mesa ste F, El Paso, TX, United States, Texas
",Pilates,Ananda Pilates & Wellness
https://angusfordrobertson.com/the-awaken-club-6-week-course-july/,,,,THE AWAKEN CLUB,,,,,
